gene_id	TCGA-BH-A0B8-01A-21R-A056-07	gene_id	TCGA-BH-A0B8-11A-41R-A089-07
ALCAM|214	3573.7203	ALCAM|214	344.9839
ALDH16A1|126133	854.9746	ALDH16A1|126133	521.0545
ALDH18A1|5832	3280.3107	ALDH18A1|5832	950.0179
ALDH1A1|216	711.7135	ALDH1A1|216	5802.6959
ALDH1A2|8854	15.6118	ALDH1A2|8854	699.5109
ALDH1A3|220	93.5283	ALDH1A3|220	608.4982
ALDH1B1|219	1024.4083	ALDH1B1|219	1214.3624
ALDH1L1|10840	19.2851	ALDH1L1|10840	5897.65
ALDH1L2|160428	270.9103	ALDH1L2|160428	325.4205
ALDH2|217	1198.8929	ALDH2|217	30540.8565
ALDH3A1|218	1286.1352	ALDH3A1|218	238.5781
ALDH3A2|224	4912.201	ALDH3A2|224	5645.2344
ALDH3B1|221	136.8327	ALDH3B1|221	243.8268
ALDH3B2|222	1034.0509	ALDH3B2|222	20.9949
ALDH4A1|8659	284.6854	ALDH4A1|8659	4033.8781
ALDH5A1|7915	1569.9023	ALDH5A1|7915	1502.0876
ALDH6A1|4329	592.3293	ALDH6A1|4329	2051.1655
ALDH7A1|501	2113.5596	ALDH7A1|501	2048.4313
lowly_expressed	lowly_expressed	ALDH8A1|64577	12.8832
ALDH9A1|223	3506.6815	ALDH9A1|223	7792.4371
ALDOA|226	43466.4123	ALDOA|226	20050.5786
lowly_expressed	lowly_expressed	ALDOB|229	9.066
ALDOC|230	582.2276	ALDOC|230	2384.8264
ALG10B|144245	256.2169	ALG10B|144245	283.4308
ALG10|84920	97.344	ALG10|84920	96.3855
ALG11|440138	16.9893	ALG11|440138	9.5431
ALG12|79087	647.8889	ALG12|79087	349.2783
ALG13|79868	504.6279	ALG13|79868	486.6993
ALG14|199857	157.0361	ALG14|199857	270.5475
ALG1L|200810	272.1501	lowly_expressed	lowly_expressed
ALG1|56052	840.9194	ALG1|56052	369.6386
ALG2|85365	671.7657	ALG2|85365	659.4298
ALG3|10195	985.3789	ALG3|10195	452.344
ALG5|29880	413.7122	ALG5|29880	638.9121
ALG6|29929	360.4485	ALG6|29929	217.106
ALG8|79053	782.8849	ALG8|79053	929.9773
ALG9|79796	556.9732	ALG9|79796	877.9673
ALKBH1|8846	296.1647	ALKBH1|8846	185.1366
