gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
ALG10|84920	135.1265	ALG10|84920	145.7744
ALG11|440138	31.7696	ALG11|440138	14.1376
ALG12|79087	526.9512	ALG12|79087	400.8797
ALG13|79868	257.1217	ALG13|79868	573.0443
ALG14|199857	121.5715	ALG14|199857	145.7744
ALG1L|200810	12.9323	lowly_expressed	lowly_expressed
ALG1|56052	611.5006	ALG1|56052	394.9387
ALG2|85365	516.7849	ALG2|85365	720.7037
ALG3|10195	1152.5998	ALG3|10195	369.7769
ALG5|29880	469.3424	ALG5|29880	512.0955
ALG6|29929	373.6101	ALG6|29929	298.4606
ALG8|79053	730.2764	ALG8|79053	518.6931
ALG9|79796	549.4017	ALG9|79796	580.5844
ALKBH1|8846	156.7299	ALKBH1|8846	256.0478
ALKBH2|121642	394.7898	ALKBH2|121642	199.4973
ALKBH3|221120	241.8723	ALKBH3|221120	361.2944
